id,pos,gloss,persian_gloss,checked
51551,noun,English economist who argued that the laws of supply and demand should operate in a free market (1772-1823),اقتصاددان انگلیسی که استدلال کرد که قوانین عرضه و تقاضا باید در یک بازار آزاد عمل کنند (1823-1772),1
51550,noun,Italian sociologist and economist whose theories influenced the development of fascism in Italy (1848-1923),جامعه شناس و اقتصاددان ایتالیایی که نظریه های وی بر توسعه فاشیسم در ایتالیا تأثیرگذار است (1848-1923),1
51554,noun,Scottish economist who advocated private enterprise and free trade (1723-1790),اقتصاددان اسکاتلندی که طرفدار تجارت خصوصی و تجارت آزاد است (1790-1723),1
51553,noun,United States economist and psychologist who pioneered in the development of cognitive science (1916-2001),اقتصاددان و روانشناس ایالات متحده که در توسعه علوم شناختی پیشگام بود (2001 - 1916),1
51557,noun,United States economist (1918-2002),اقتصاددان ایالات متحده (1918-2002),1
51556,noun,Dutch economist noted for his work in econometrics (1903-1994),اقتصاددان هلندی برای کار در اقتصاد سنجی (1903-1994) اشاره کرد,1
51555,noun,English economist remembered for his studies of the development of capitalism (1880-1962),اقتصاددان انگلیسی به خاطر مطالعات خود در مورد توسعه سرمایه داری (1962-1880) به یاد آورد,1
51559,noun,United States economist who wrote about conspicuous consumption (1857-1929),اقتصاددان ایالات متحده که در مورد مصرف قابل توجه نوشت (1947-1929),1
51561,noun,United States social economist (1876-1933),اقتصاددان اجتماعی ایالات متحده (1876-1933),1
51560,noun,English sociologist and economist and a central member of the Fabian Society (1859-1947),جامعه شناس و اقتصاددان انگلیسی و عضو اصلی انجمن Fabian (1859-1947),1
51563,noun,the system of production and distribution and consumption,سیستم تولید و توزیع و مصرف,1
51562,verb,"live frugally and use less resources; ""In the new economy, we all have to learn to tighten our belts""","صرفه جو زندگی کنند و از منابع کمتری استفاده کنند""در اقتصاد جدید ، همه ما باید یاد بگیریم که کمربندهای خود را محکم کنیم""",1
51558,noun,French economist who in 1774 was put in control of finances by Louis XVI; his proposals for reforms that involved abolishing feudal privileges made him unpopular with the aristocracy and in 1776 he was dismissed (1727-1781),اقتصاددان فرانسوی که در سال 1774 توسط لویی شانزدهم کنترل امور مالی را به دست گرفت.پیشنهادات وی برای اصلاحاتی که شامل لغو امتیازات فئودالی بود ، او را در نزد اشرافیت محبوب نکرد و در سال 1776 از کار برکنار شد (1727-1781),1
51565,noun,an economic system that combines private and state enterprises,یک سیستم اقتصادی که شرکتهای خصوصی و دولتی را با هم ترکیب می کند,1
51564,noun,an economic system built on large industries rather than on agriculture or craftsmanship,یک سیستم اقتصادی که بیش از کشاورزی و صنعت در صنایع بزرگ بنا شده است,1
51566,noun,an economy that is not a market economy,اقتصادی که اقتصاد بازار نیست,1
51570,noun,"the efficient use of resources; ""economy of effort""","استفاده بهینه از منابع ؛""اقتصاد تلاش""",1
51567,noun,an economic system that is primarily capitalistic but there is some degree of government ownership of the means of production,یک سیستم اقتصادی که در درجه اول سرمایه داری است اما درجاتی از مالکیت دولت بر ابزار تولید وجود دارد,1
51568,noun,an economic system in which the government owns most means of production but some degree of private capitalism is allowed,یک سیستم اقتصادی که در آن دولت بیشترین ابزار تولید را دارد اما درجاتی از سرمایه داری خصوصی مجاز است,1
51571,noun,"skillfulness in avoiding wasted time and effort; ""she did the work with great efficiency""","مهارت در جلوگیری از اتلاف وقت و تلاش""او کار را با کارایی زیادی انجام داد""",1
51573,noun,prudence in avoiding waste,احتیاط در جلوگیری از اتلاف,1
51569,noun,"a hidden sector of the economy where private cash transactions go unreported; ""no one knows how large the black economy really is""","یک بخش پنهان از اقتصاد که در آن معاملات نقدی خصوصی گزارش نمی شود.""هیچ کس نمی داند که اقتصاد سیاه واقعا چقدر بزرگ است""",1
51572,noun,"frugality in the expenditure of money or resources; ""the Scots are famous for their economy""","صرفه جویی در هزینه پول یا منابع ؛""اسکاتلندی ها به خاطر اقتصادشان معروف هستند""",1
51574,noun,the saving in cost of production that is due to mass production,صرفه جویی در هزینه های تولید که ناشی از تولید انبوه است,1
51575,noun,a system formed by the interaction of a community of organisms with their physical environment,سیستمی که در اثر تعامل جامعه ارگانیسم ها با محیط فیزیکی آنها شکل گرفته است,1
51578,adjective,feeling great rapture or delight,احساس خشنودی یا لذت بزرگ,1
51576,noun,"a state of being carried away by overwhelming emotion; ""listening to sweet music in a perfect rapture""- Charles Dickens","حالتی که توسط احساسات طاقت فرسا رانده می شود.""گوش دادن به موسیقی شیرین در یک جذابیت کامل"" - چارلز دیکنز",1
51579,adjective,"full of or characterized by joy; ""felt a joyous abandon""; ""joyous laughter""","پر از شادی یا مشخصه آن""احساس رها کردن شادی آور""؛""خنده شاد""",1
51580,noun,any external parasitic organism (as fleas),هر ارگانیسم انگلی خارجی (به عنوان کک),1
51577,noun,"the state of a person's emotions (especially with regard to pleasure or dejection); ""his emotional state depended on her opinion""; ""he was in good spirits""; ""his spirit rose""","وضعیت احساسات فرد (به ویژه در رابطه با لذت یا انزجار) ؛""وضعیت عاطفی او به نظر او بستگی داشت""؛""او روحیه خوبی داشت""؛""روحش بلند شد""",1
51581,noun,(spiritualism) a substance supposed to emanate from the body of the medium during a trance,(معنویت گرایی) ماده ای که در حین خلسه از بدن رسانه بیرون می آید,1
51583,noun,the outer granule-free layer of cytoplasm,لایه خارجی فاقد گرانول سیتوپلاسم,1
51582,noun,something that is emitted or radiated (as a gas or an odor or a light etc.),چیزی که از آن ساطع می شود یا تابش می شود (به عنوان گاز یا بو یا نور و غیره),1
51586,noun,eczema caused by an allergic reaction,اگزما ناشی از واکنش آلرژیک,1
51584,adjective,"concerned with promoting unity among churches or religions; ""ecumenical thinking""; ""ecumenical activities""; ""the ecumenical movement""","نگران ترویج وحدت بین کلیساها یا ادیان هستند.""تفکر بومی""؛""فعالیتهای بومی""؛""جنبش بومی""",1
51587,noun,eczema characterized by a feverish condition and widespread eruption of vesicles; most common in children,اگزما با شرایط تب دار و فوران گسترده وزیکول مشخص می شود.شایع ترین در کودکان است,1
51585,adjective,"not restricted to one sect or school or party; ""religious training in a nonsectarian atmosphere""; ""nonsectarian colleges""; ""a wide and unsectarian interest in religion""- Bertrand Russell","محدود به یک فرقه یا مدرسه یا حزب نیست.""تربیت دینی در جو غیرمذهبی""؛""کالج های غیر مذهبی""؛""علاقه گسترده و غیر مذهبی به دین"" - برتراند راسل",1
51589,noun,eczema characterized by thickening of the skin with accentuated skin lines,اگزما با ضخیم شدن پوست با خطوط برجسته پوست مشخص می شود,1
51588,noun,a now rare complication of vaccinia superimposed on atopic dermatitis with high fever and generalized vesicles and papulovesicles,یک عارضه نادر واکسن که بر روی درماتیت آتوپیک با تب بالا و وزیکول های عمومی و پاپولوسیکول ها قرار گرفته است,1
51591,noun,excessive desire to eat,میل بیش از حد به غذا خوردن,1
51592,noun,extreme gluttony,پرخوری افراطی,1
51593,noun,habitual eating to excess,خوردن عادت بیش از حد,1
51594,noun,founder of Christian Science in 1866 (1821-1910),بنیانگذار علوم مسیحی در سال 1866 (1821-1910),1
51590,adjective,"devouring or craving food in great quantities; ""edacious vultures""; ""a rapacious appetite""; ""ravenous as wolves""; ""voracious sharks""","بلعیدن غذا یا خوردن آن در مقادیر زیاد""کرکسهای جسور""؛""یک اشتها آور""""گرگ مانند""""کوسه های ناخوشایند""",1
51596,noun,edelweiss,ادلوس,1
51597,noun,any place of complete bliss and delight and peace,هر مکانی از سعادت و لذت و آرامش کامل,1
51599,noun,the abode of God and the angels,اقامتگاه خدا و فرشتگان,1
51600,adjective,"having few if any teeth; ""anteaters are edentate animals""","اگر دندان کمی داشته باشید.""مورچه خواران حیوانات دزدانه هستند""",1
51595,noun,alpine perennial plant native to Europe having leaves covered with whitish down and small flower heads held in stars of glistening whitish bracts,گیاه چند ساله آلپی بومی اروپا دارای برگهایی پوشیده از مایل به سفید و سرهای گلهای کوچک که در ستارگان پوستهای مایل به سفید براق نگه داشته شده اند,1
51601,adjective,"lacking teeth; ""most birds are toothless""; ""a toothless old crone""","فاقد دندان؛""بیشتر پرندگان بدون دندان هستند""؛""یک کرون قدیمی بدون دندان""",1
51604,noun,a large extinct ground sloth,یک تنبل بزرگ زمینی منقرض شده,1
51602,noun,order of mammals having few or no teeth including: New World anteaters; sloths; armadillos,نظم پستانداران که دندان کمی دارند یا دندان ندارند از جمله: مورچه خواران دنیای جدید.تنبلآرمادیلوس,1
51605,noun,a variety of extinct edentate,انواع edentate منقرض شده,1
51598,noun,a beautiful garden where Adam and Eve were placed at the Creation; when they disobeyed and ate the forbidden fruit from the tree of knowledge of good and evil they were driven from their paradise (the fall of man),یک باغ زیبا که آدم و حوا در خلقت قرار گرفتند.هنگامی که آنها نافرمانی کردند و میوه ممنوع را از درخت شناخت خوب و بد خوردند از بهشت خود رانده شدند (سقوط انسان),1
51607,verb,"provide with an edge; ""edge a blade""","با لبه فراهم کنید""لبه تیغه""",1
51608,noun,a thin tapering edge,یک لبه نازک مخروطی,1
51603,noun,any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits,هر یک از چندین پستاندار درختی کند حرکت در آمریکای جنوبی و آمریکای مرکزی.آنها از شاخه ها به سمت پایین آویزان می شوند و از برگ و میوه تغذیه می کنند,1
51606,noun,large (bear-sized) extinct edentate mammal of the Pleistocene in South America,پستاندار دفع شده بزرگ (به اندازه خرس) پلیستوسن در آمریکای جنوبی,1
51609,noun,forward edge of an airfoil,لبه جلو یک ایرفویل,1
51610,noun,corrugated edge of a coin,موج دار یک سکه,1
51612,noun,the rear edge of an airfoil,لبه عقب یک ایرفویل,1
51611,noun,an edge that is as sharp as the cutting side of a razor,لبه ای که تیز مانند قسمت برش تیغ است,1
51613,noun,"the attribute of urgency; ""his voice had an edge to it""","صفت اضطرار ؛""صدای او به آن لبه داشت""",1
51614,noun,"pressing importance requiring speedy action; ""the urgency of his need""","اهمیت فوری نیاز به اقدام سریع ؛""فوریت نیاز او""",1
51615,noun,"a slight competitive advantage; ""he had an edge on the competition""","یک مزیت رقابتی جزئی ؛""او در رقابت برتر بود""",1
51616,noun,(nautical) the forward edge of a fore-and-aft sail that is next to the mast,(دریایی) لبه جلو یک بادبان جلو و عقب که کنار دکل است,1
51618,noun,"edge of a way or road or path; ""flowers along the wayside""","لبه راه یا جاده یا مسیر ؛""گلهای کنار جاده""",1
51617,noun,the edge of a fabric that is woven so that it will not ravel or fray,لبه پارچه ای که بافته می شود تا جوش نخورد و از بین نرود,1
51619,noun,edging consisting of hanging threads or tassels,لبه متشکل از نخ های آویز یا منگوله,1
51620,noun,a richly embroidered edging on an ecclesiastical vestment,یک لبه دوزی کاملاً دوخته شده بر روی جلیقه کلیسایی,1
51623,verb,significantly cut up a manuscript,به طور قابل توجهی یک نسخه خطی را قطع کرد,1
51621,noun,education that results in understanding and the spread of knowledge,آموزش و پرورش که منجر به درک و گسترش دانش می شود,1
51622,verb,"make understand; ""Can you enlighten me--I don't understand this proposal""","درک کردن""آیا می توانید من را روشن کنید - من این پیشنهاد را نمی فهمم""",1
51625,verb,edit and correct (written or printed material),ویرایش و اصلاح (مطالب مکتوب یا چاپی),1
51624,verb,"cut out, as for political reasons; ""several line in the report were blanked out""","قطع ، به دلایل سیاسی ؛""چندین خط در گزارش خالی شد""",1
51627,noun,editing that involves writing something again,ویرایش که شامل نوشتن دوباره چیزی است,1
51626,noun,putting something into a form suitable for a printer,قرار دادن چیزی به فرم مناسب برای چاپگر,1
51628,noun,the form in which a text (especially a printed book) is published,شکلی که در آن یک متن (به ویژه یک کتاب چاپی) منتشر می شود,1
51630,noun,an edition that is restricted to a specific number of copies,نسخه ای که به تعداد خاصی از نسخه ها محدود شده است,1
51629,noun,"all the copies of a work printed at one time; ""they ran off an initial printing of 2000 copies""","تمام نسخه های یک کار چاپ شده در یک زمان ؛""آنها چاپ اولیه 2000 نسخه را تمام کردند""",1
51631,noun,an edition containing various versions of a text or notes by various scholars or editors,نسخه ای شامل نسخه های مختلف متن یا یادداشت ها توسط دانشمندان یا ویراستاران مختلف,1
51633,noun,"an issue of a newspaper; ""he read it in yesterday's edition of the Times""","یک شماره روزنامه؛""او آن را در نسخه دیروز تایمز خواند""",1
51635,noun,an additional edition of a newspaper (usually to report a crisis),نسخه اضافی روزنامه (معمولاً برای گزارش بحران),1
51634,noun,"one of a series published periodically; ""she found an old issue of the magazine in her dentist's waiting room""","یکی از مجموعه هایی که به صورت دوره ای منتشر می شود.""او یک شماره قدیمی از مجله را در اتاق انتظار دندانپزشک خود پیدا کرد""",1
51632,noun,"all of the identical copies of something offered to the public at the same time; ""the first edition appeared in 1920""; ""it was too late for the morning edition""; ""they issued a limited edition of Bach recordings""","همه نسخه های یکسان چیزی که همزمان به مردم ارائه می شود.""چاپ اول در سال 1920 ظاهر شد""؛""برای نسخه صبح خیلی دیر بود""؛""آنها نسخه محدودی از ضبط های باخ را صادر کردند""",1
51639,noun,an assistant editor,دستیار ویرایشگر,1
51637,noun,"a subdivision of a particular kind of thing; ""what type of sculpture do you prefer?""","تقسیم نوع خاصی از چیزها.""چه نوع مجسمه ای را ترجیح می دهید؟""",1
51638,noun,a editor who is responsible for illustrations and layouts in printed matter,ویراستاری که مسئول تهیه تصاویر و طرح بندی در مواد چاپی است,1
51642,noun,the editor of a newspaper,سردبیر روزنامه,1
51641,noun,the editor in charge of all editorial activities of a newspaper or magazine,سردبیر مسئول کلیه فعالیتهای تحریریه روزنامه یا مجله,1
51636,noun,"something a little different from others of the same type; ""an experimental version of the night fighter""; ""a variant of the same word""; ""an emery wheel is the modern variation of a grindstone""; ""the boy is a younger edition of his father""","چیزی کمی متفاوت از دیگران از همان نوع.""نسخه آزمایشی جنگنده شبانه"" ؛""یک نوع از همان کلمه"" ؛""چرخ زمرد گونه مدرن سنگ آهک است""؛""پسر نسخه کوچکتر پدرش است""",1
51643,noun,someone who puts text into appropriate form for publication,کسی که متن را در فرم مناسب برای انتشار قرار می دهد,1
51640,noun,"a person who edits a text by removing obscene or offensive words or passages; ""Thomas Bowdler was a famous expurgator""","شخصی که با حذف کلمات یا عبارات ناپسند یا توهین آمیز متن را ویرایش می کند.""توماس بوودلر یک مفسر مشهور بود""",1
51646,noun,United States editor (1920-1993),سردبیر ایالات متحده (1993-1993),1
51645,noun,American psychologist and editor (1860-1944),روانشناس و ویراستار آمریکایی (1860-1944),1
51644,noun,English editor who in 1818 published an expurgated edition of the works of Shakespeare (1754-1825),ویراستار انگلیسی که در سال 1818 نسخه تالیفی آثار شکسپیر (1754-1825) را منتشر کرد,1
51648,verb,"train for a social environment; ""The children must be properly socialized""","آموزش برای یک محیط اجتماعی ؛""کودکان باید به درستی اجتماعی شوند""",1
51649,verb,educate persons of both sexes together,افراد هر دو جنس را با هم آموزش دهید,1
51647,noun,an editor program that creates one module from several by resolving cross-references among the modules,یک برنامه ویرایشگر که با حل منابع متقابل در بین ماژول ها ، یک ماژول از چند مورد ایجاد می کند,1
51651,adjective,possessing an education (especially having more than average knowledge),داشتن تحصیلات (به ویژه داشتن دانش بیشتر از حد متوسط),1
51652,adjective,having knowledge and spiritual insight;,داشتن دانش و بینش معنوی ؛,1
51654,adjective,able to read and write,قادر به خواندن و نوشتن است,1
51650,verb,"educate in or as if in a school; ""The children are schooled at great cost to their parents in private institutions""","تحصیل در مدرسه یا مثل اینکه در مدرسه باشد ؛""کودکان در م institutionsسسات خصوصی با هزینه های زیاد برای والدین خود تحصیل می کنند""",1
51655,adjective,able to understand and use numbers,قادر به درک و استفاده از اعداد است,1
51657,adjective,"knowledgeable and educated in one or several fields; ""computer literate""","آگاه و تحصیل کرده در یک یا چند زمینه""باسواد کامپیوتر""",1
51658,adjective,educated by your own efforts rather than by formal instruction,با تلاش خودتان ترجیح داده اید تا با دستورالعمل رسمی,1
51659,adjective,literate but poorly informed,باسواد اما کم اطلاع,1
51656,adjective,"highly educated; having extensive information or understanding; ""an enlightened public""; ""knowing instructors""; ""a knowledgeable critic""; ""a knowledgeable audience""","دارای تحصیلات عالی؛داشتن اطلاعات یا درک گسترده ؛""یک جامعه روشن فکر""؛""دانستن مربیان""؛""یک منتقد آگاه""؛""مخاطب آگاه""",1
51660,adjective,"having or based on relevant experience; ""an educated guess""; ""an enlightened electorate""","داشتن یا مبتنی بر تجربه مربوطه""یک حدس تحصیل کرده""؛""یک انتخاب کننده روشن فکر""",1
51653,adjective,"appealing to or using the intellect; ""satire is an intellectual weapon""; ""intellectual workers engaged in creative literary or artistic or scientific labor""; ""has tremendous intellectual sympathy for oppressed people""; ""coldly intellectual""; ""sort of the intellectual type""; ""intellectual literature""","توسل به عقل یا استفاده از آن؛""هجو سلاحی فکری است""؛""کارگران روشنفکر که مشغول کار خلاق ادبی یا هنری یا علمی هستند"" ؛""با مردم مظلوم همدردی فکری فوق العاده ای دارد""؛""سرد سرد""""نوعی از نوع فکری"" ؛""ادبیات فکری""",1
51663,noun,profound scholarly knowledge,دانش عمیق علمی,1
51661,noun,training in the development of and care for the human body; stresses athletics; includes hygiene,آموزش در مورد توسعه و مراقبت از بدن انسان ؛دو و میدانی را تحت فشار قرار می دهد؛شامل بهداشت است,1
51662,noun,"the accumulation of knowledge or skill that results from direct participation in events or activities; ""a man of experience""; ""experience is the best teacher""","انباشت دانش یا مهارتی که از مشارکت مستقیم در رویدادها یا فعالیتها حاصل می شود.""یک مرد باتجربه"" ؛""تجربه بهترین معلم است""",1
51666,noun,the process of educating yourself,روند آموزش خودتان,1
51667,noun,"the process of being formally educated at a school; ""what will you do when you finish school?""","روند آموزش رسمی در یک مدرسه ؛""وقتی مدرسه را تمام کنی چه خواهی کرد؟""",1
51665,noun,"becoming proficient in the use of something; having mastery of; ""his mastering the art of cooking took a long time""","مهارت در استفاده از چیزیتسلط داشتن بر؛""تسلط وی بر هنر آشپزی مدت زیادی طول کشید""",1
51669,noun,training for a specific vocation in industry or agriculture or trade,آموزش برای حرفه ای خاص در صنعت یا کشاورزی یا تجارت,1
51668,noun,education of physically or mentally handicapped children whose needs cannot be met in an ordinary classroom,آموزش کودکان معلول جسمی یا ذهنی که نیازهای آنها در یک کلاس معمولی برآورده نشود,1
51664,noun,"education or instruction in the fundamentals of a field of knowledge; ""he lacks the foundation necessary for advanced study""; ""a good grounding in mathematics""","آموزش یا آموزش در مبانی یک رشته دانش ؛""او فاقد پایه لازم برای مطالعه پیشرفته است""؛""یک زمینه خوب در ریاضیات""",1
51670,noun,a specialist in the theory of education,متخصص نظریه آموزش,1
51671,adjective,"resulting in education; ""an educative experience""","در نتیجه آموزش""یک تجربه آموزشی""",1
51672,noun,a public lecturer at certain universities,یک مدرس عمومی در دانشگاه های خاص,1
51673,noun,any person (or institution) who acts as an educator,هر شخص (یا م institutionسسه ای) که به عنوان یک مربی فعالیت می کند,1
51676,noun,Czech educational reformer (1592-1670),مصلح آموزشی چک (1570-1670),1
51674,noun,United States educator who worked to improve race relations and educational opportunities for Black Americans (1875-1955),مربی ایالات متحده که برای بهبود روابط نژادی و فرصت های آموزشی سیاه پوستان آمریکایی تلاش کرد (1955-1875),1
51675,noun,United States educator famous for writing a book about how to win friends and influence people (1888-1955),مربی ایالات متحده مشهور به نوشتن کتاب در مورد چگونگی به دست آوردن دوستان و نفوذ در مردم (1888-1955),1
51677,noun,United States pragmatic philosopher who advocated progressive education (1859-1952),فیلسوف عمل گرای ایالات متحده که طرفدار آموزش مترقی است (1859-1952),1
51678,noun,German educator who founded the kindergarten system (1782-1852),مربی آلمانی که سیستم مهد کودک را تأسیس کرد (1782-1852),1
51680,noun,United States educator and theologian (1802-1887),مربی و متکلم ایالات متحده (1802-1887),1
51679,noun,United States educator who established the first free school in the United States for the hearing impaired (1787-1851),مربی ایالات متحده که اولین مدرسه رایگان در ایالات متحده را برای افراد کم شنوا تأسیس کرد (1787-1851),1
51681,noun,United States educator who was president of the University of Chicago (1899-1977),مربی ایالات متحده که رئیس دانشگاه شیکاگو بود (1899-1977),1
51683,noun,United States educator and president of Harvard University (1856-1943),مربی ایالات متحده و رئیس دانشگاه هاروارد (1856-1943),1
51682,noun,"United States educator who founded the first private school for Black students in Augusta, Georgia (1854-1933)",مربی ایالات متحده که اولین مدرسه خصوصی برای دانش آموزان سیاه پوست را در آگوستا ، جورجیا (1854-1933) تأسیس کرد,1
51685,noun,United States educator who compiled the McGuffey Eclectic Readers (1800-1873),مربی ایالات متحده که جمع آوری McGuffey Eclectic Readers (1800-1873),1
51687,noun,United States politician and educator (1927-2003),سیاستمدار و مربی ایالات متحده (1927-2003),1
51684,noun,United States educator who introduced reforms that significantly altered the system of public education (1796-1859),مربی ایالات متحده که اصلاحاتی را ایجاد کرد که به طور قابل توجهی سیستم آموزش عمومی را تغییر داد (1796-1859),1
51688,noun,United States educator (born in Canada) who invented the game of basketball (1861-1939),مربی ایالات متحده (متولد کانادا) که بازی بسکتبال را اختراع کرد (1839-1939),1
51686,noun,Italian educator who developed a method of teaching mentally handicapped children and advocated a child-centered approach (1870-1952),مربی ایتالیایی که روشی را برای آموزش کودکان معلول ذهنی توسعه داده و از یک رویکرد کودک محور حمایت می کند (1870-1952),1
51691,noun,English educator who invented a system of phonetic shorthand (1813-1897),مربی انگلیسی که سیستم مختصر آواشناسی را اختراع کرد (1897-1813),1
51690,noun,educator who founded the first kindergarten in the United States (1804-1894),مربی که اولین کودکستان را در ایالات متحده تاسیس کرد (1804-1894),1
51689,noun,German musician who developed a widely used system for teaching music to children (1895-1982),نوازنده آلمانی که یک سیستم پرکاربرد برای آموزش موسیقی به کودکان (1895-1982) ایجاد کرد,1
51692,noun,United States educator who was the teacher and lifelong companion of Helen Keller (1866-1936),مربی ایالات متحده که معلم و همراه مادام العمر هلن کلر بود (1936-1866),1
51693,noun,United States educator who was born a slave but became educated and founded a college at Tuskegee in Alabama (1856-1915),مربی ایالات متحده که برده متولد شد اما تحصیل کرد و کالجی را در Tuskegee در آلاباما تأسیس کرد (1856-1915),1
51695,noun,United States educator who was an early campaigner for higher education for women (1787-1870),مربی ایالات متحده که یکی از مبارزات اولیه آموزش عالی برای زنان بود (1870-1787),1
51694,noun,United States educator who in 1865 (with Ezra Cornell) founded Cornell University and served as its first president (1832-1918),مربی ایالات متحده که در سال 1865 (با عزرا کورنل) دانشگاه کورنل را تأسیس کرد و به عنوان اولین رئیس آن (1818-1932) فعالیت کرد,1
51699,noun,young eel; may be sauteed or batter-fried,مارماهی جوانممکن است تفت داده شود یا سرخ شود,1
51697,noun,the fatty flesh of eel; an elongate fish found in fresh water in Europe and America; large eels are usually smoked or pickled,گوشت چرب مارماهی ؛یک ماهی کشیده که در آب شیرین در اروپا و آمریکا یافت می شود.مارماهی های بزرگ معمولاً دودی یا ترشی می شوند,1
51696,noun,American Revolutionary leader and educator (born in Scotland) who signed of the Declaration of Independence and was president of the college that became Princeton University (1723-1794),رهبر و مربی انقلابی آمریکا (متولد اسکاتلند) که بیانیه استقلال را امضا کرد و رئیس کالجی بود که به دانشگاه پرینستون تبدیل شد (1794-1723),1
51698,noun,eels that live in fresh water as adults but return to sea to spawn; found in Europe and America; marketed both fresh and smoked,مارماهی هایی که در بزرگسالی در آب شیرین زندگی می کنند اما برای تخم ریزی به دریا برمی گردند.در اروپا و آمریکا یافت می شود.به صورت تازه و دودی به بازار عرضه شده است,1
51702,noun,young eel,مارماهی جوان,1
51703,noun,New Zealand eel,مارماهی نیوزیلند,1
51701,noun,elongate fishes with pelvic fins and girdle absent or reduced,ماهی های کشیده با باله های لگنی و کمربند وجود ندارد یا کاهش می یابد,1
51700,noun,voracious snakelike marine or freshwater fishes with smooth slimy usually scaleless skin and having a continuous vertical fin but no ventral fins,ماهی های دریایی یا آب شیرین ناخوشایند مانند ماهی های دریایی یا آب شیرین با پوستی نرم و لزج بدون مقیاس و دارای یک باله عمودی مداوم اما بدون باله شکمی,1
51706,noun,submerged marine plant with very long narrow leaves found in abundance along North Atlantic coasts,گیاه دریایی غوطه ور با برگهای باریک بسیار بلند که در سواحل اقیانوس اطلس شمالی به وفور یافت می شود,1
51705,noun,large dark-colored scaleless marine eel found in temperate and tropical coastal waters; some used for food,مارماهی دریایی بدون مقیاس بزرگ تیره رنگ که در آبهای ساحلی معتدل و گرمسیری یافت می شود.بعضی از آنها برای غذا استفاده می شود,1
